CÓDIGO,DENOMINACIÓN,Total
162511,Semovientes y plantas,0.00
162512,"Componentes de propiedades, planta y equipo",0.00
162590,"Otras maquinarias, planta y equipo en tránsito",0.00
1635,BIENES MUEBLES EN BODEGA,0.00
163501,Maquinaria y equipo,0.00
163502,Equipo médico y científico,0.00
163503,"Muebles, enseres y equipo de oficina",0.00
163504,Equipos de comunicación y computación,0.00
163505,"Equipos de transporte, tracción y elevación",0.00
163507,"Redes, líneas y cables",0.00
163511,"Equipos de comedor, cocina, despensa y hotelería",0.00
163512,"Componentes de propiedades, planta y equipo",0.00
163590,Otros bienes muebles en bodega,0.00
1636,"PROPIEDADES, PLANTA Y EQUIPO EN MANTENIMIENTO",0.00
163601,Edificaciones,0.00
163603,"Plantas, ductos y túneles",0.00
163604,"Redes, líneas y cables",0.00
163605,Maquinaria y equipo,0.00
163606,Equipo médico y científico,0.00
163607,"Muebles, enseres y equipo de oficina",0.00
163608,Equipos de comunicación y computación,0.00
163609,"Equipos de transporte, tracción y elevación",0.00
163610,"Equipos de comedor, cocina, despensa y hotelería",0.00
1637,"PROPIEDADES, PLANTA Y EQUIPO NO EXPLOTADOS",0.00
163701,Terrenos,0.00
163702,Construcciones en curso,0.00
163703,Edificaciones,0.00
163705,"Plantas, ductos y túneles",0.00
163706,"Redes, líneas y cables",0.00
163707,Maquinaria y equipo,0.00
163708,Equipo médico y científico,0.00
163709,"Muebles, enseres y equipo de oficina",0.00
163710,Equipos de comunicación y computación,0.00
163711,"Equipos de transporte, tracción y elevación",0.00
163712,"Equipos de comedor, cocina, despensa y hotelería",0.00
1640,EDIFICACIONES,0.00
164001,Edificios y casas,0.00
164002,Oficinas,0.00
164003,Almacenes,0.00
164004,Locales,0.00
164005,Fábricas,0.00
164006,Mataderos,0.00
164007,"Salas de exhibición, conferencias y ventas",0.00
164008,Cafeterías y casinos,0.00
164009,Colegios y escuelas,0.00
164010,Clínicas y hospitales,0.00
164011,Clubes,0.00
164012,"Hoteles, hostales y paradores",0.00
164013,Silos,0.00
164014,Invernaderos,0.00
164015,Casetas y campamentos,0.00
164017,Parqueaderos y garajes,0.00
164018,Bodegas,0.00
164019,Instalaciones deportivas y recreacionales,0.00
164020,Estanques,0.00
164022,Presas,0.00
164023,Pozos,0.00
164024,Tanques de almacenamiento,0.00
164025,Estaciones repetidoras,0.00
164027,Edificaciones pendientes de legalizar,0.00
164028,Edificaciones de propiedad de terceros,0.00
164090,Otras edificaciones,0.00
1642,REPUESTOS,0.00
164201,Edificaciones,0.00
164202,"Plantas, ductos y túneles",0.00
164203,"Redes, líneas y cables",0.00
164204,Maquinaria y equipo,0.00
164205,Equipo médico y científico,0.00
164206,"Muebles, enseres y equipo de oficina",0.00
164207,Equipos de comunicación y computación,0.00
164208,"Equipos de transporte, tracción y elevación",0.00
164209,"Equipos de comedor, cocina, despensa y hotelería",0.00
164290,Otros repuestos,0.00
1645,"PLANTAS, DUCTOS Y TÚNELES",0.00
164501,Plantas de generación,0.00
164502,Plantas de tratamiento,0.00
164503,Plantas deshidratadoras,0.00
164504,Plantas de transmisión,0.00
164505,Plantas de distribución,0.00
164506,Plantas de producción,0.00
164507,Plantas de conducción,0.00
164508,Plantas de telecomunicaciones,0.00
164512,Subestaciones y/o estaciones de regulación,0.00
164513,Acueducto y canalización,0.00
164514,Estaciones de bombeo,0.00
164515,"Plantas, ductos y túneles pendientes de legalizar",0.00
164516,"Plantas, ductos y túneles de propiedad de terceros",0.00
164590,"Otras plantas, ductos y túneles",0.00
1650,"REDES, LÍNEAS Y CABLES",0.00
165002,Redes de distribución,0.00
165003,Redes de recolección de aguas,0.00
165004,Redes de distribución de vapor,0.00
165005,Redes de aire,0.00
165006,Redes de alimentación de gas,0.00
165007,Líneas y cables de interconexión,0.00
165008,Líneas y cables de transmisión,0.00
165009,Líneas y cables de conducción,0.00
165010,Líneas y cables de telecomunicaciones,0.00
165011,"Redes, líneas y cables pendientes de legalizar",0.00
165012,"Redes, líneas y cables de propiedad de terceros",0.00
165090,"Otras redes, líneas y cables",0.00
1655,MAQUINARIA Y EQUIPO,7111570.00
165501,Equipo de construcción,0.00
165503,Equipo de perforación,0.00
165504,Maquinaria industrial,0.00
165505,Equipo de música,0.00
165506,Equipo de recreación y deporte,0.00
165508,"Equipo agropecuario, de silvicultura, avicultura y pesca",0.00
165509,Equipo de enseñanza,0.00
165511,Herramientas y accesorios,0.00
165512,Equipo para estaciones de bombeo,7111570.00
165520,Equipo de centros de control,0.00
165521,Maquinaria y equipo de dragado,0.00
165522,Equipo de ayuda audiovisual,0.00
165523,Equipo de aseo,0.00
165524,Maquinaria y equipo pendiente de legalizar,0.00
165525,Maquinaria y equipo de propiedad de terceros,0.00
165526,Equipo de seguridad y rescate,0.00
165590,Otra maquinaria y equipo,0.00
1660,EQUIPO MÉDICO Y CIENTÍFICO,0.00
166001,Equipo de investigación,0.00
166002,Equipo de laboratorio,0.00
166003,Equipo de urgencias,0.00
166005,Equipo de hospitalización,0.00
166006,Equipo de quirófanos y salas de parto,0.00
166007,Equipo de apoyo diagnóstico,0.00
166008,Equipo de apoyo terapéutico,0.00
166009,Equipo de servicio ambulatorio,0.00
166010,Equipo médico y científico pendiente de legalizar,0.00
166011,Equipo médico y científico de propiedad de terceros,0.00
166090,Otro equipo médico y científico,0.00
1665,"MUEBLES, ENSERES Y EQUIPO DE OFICINA",9895900.00
166501,Muebles y enseres,0.00
166502,Equipo y máquina de oficina,0.00
166504,"Muebles, enseres y equipo de oficina pendientes de legalizar",0.00
166505,"Muebles, enseres y equipo de oficina de propiedad de terceros",0.00
166590,"Otros muebles, enseres y equipo de oficina",9895900.00
1670,EQUIPOS DE COMUNICACIÓN Y COMPUTACIÓN,1531000.00
167001,Equipo de comunicación,0.00
167002,Equipo de computación,1531000.00
167004,Satélites y antenas,0.00
167005,Equipos de radares,0.00
167006,Equipos de comunicación y computación pendientes de legalizar,0.00
167007,Equipos de comunicación y computación de propiedad de terceros,0.00
167090,Otros equipos de comunicación y computación,0.00
1675,"EQUIPOS DE TRANSPORTE, TRACCIÓN Y ELEVACIÓN",0.00
167501,Aéreo,0.00
167502,Terrestre,0.00
167503,Férreo,0.00
167504,Marítimo y fluvial,0.00
167505,De tracción,0.00
167506,De elevación,0.00
167507,"Equipos de transporte, tracción y elevación pendientes de legalizar",0.00
167508,"Equipos de transporte, tracción y elevación de propiedad de terceros",0.00
167590,"Otros equipos de transporte, tracción y elevación",0.00
1680,"EQUIPOS DE COMEDOR, COCINA, DESPENSA Y HOTELERÍA",0.00
168001,Equipo de hotelería,0.00
168002,Equipo de restaurante y cafetería,0.00
168003,Equipo de calderas,0.00
168004,Equipo de lavandería,0.00
168005,"Equipos de comedor, cocina, despensa y hotelería pendientes de legalizar",0.00
168006,"Equipos de comedor, cocina, despensa y hotelería de propiedad de terceros",0.00
168090,"Otros equipos de comedor, cocina, despensa y hotelería",0.00
1681,BIENES DE ARTE Y CULTURA,0.00
168101,Obras de arte,0.00
168103,Bienes de culto,0.00
168104,Joyas,0.00
168105,Elementos de museo,0.00
168106,Elementos musicales,0.00
168107,Libros y publicaciones de investigación y consulta,0.00
168190,Otros bienes de arte y cultura,0.00
1683,"PROPIEDADES, PLANTA Y EQUIPO EN CONCESIÓN",0.00
168301,Terrenos,0.00
168302,Edificaciones,0.00
168303,"Plantas, ductos y túneles",0.00
168304,"Redes, líneas y cables",0.00
168305,Maquinaria y Equipo,0.00
168306,Equipo médico y científico,0.00
168307,"Muebles, enseres y equipo de oficina",0.00
168308,Equipos de comunicación y computación,0.00
168309,"Equipos de transporte, tracción y elevación",0.00
168310,Construcciones en curso,0.00
168390,"Otras propiedades, planta y equipo en concesión",0.00
1685,"DEPRECIACIÓN ACUMULADA DE PROPIEDADES, PLANTA Y EQUIPO (CR)",-2086460.00
168501,Edificaciones,0.00
168502,"Plantas, ductos y túneles",0.00
168503,"Redes, líneas y cables",0.00
168504,Maquinaria y equipo,-917860.00
168505,Equipo médico y científico,0.00
168506,"Muebles, enseres y equipo de oficina",-250000.00
168507,Equipos de comunicación y computación,-918600.00
168508,"Equipos de transporte, tracción y elevación",0.00
168509,"Equipos de comedor, cocina, despensa y hotelería",0.00
168510,Semovientes y plantas,0.00
168511,Plantas productoras,0.00
168512,Bienes de arte y cultura,0.00
168513,Bienes muebles en bodega,0.00
168514,"Propiedades, planta y equipo en mantenimiento",0.00
168515,"Propiedades, planta y equipo no explotados",0.00
168516,"Propiedades, planta y equipo en concesión",0.00
168517,Terrenos con vida útil finita,0.00
1695,"DETERIORO ACUMULADO DE PROPIEDADES, PLANTA Y EQUIPO (CR)",0.00
169501,Terrenos,0.00
169502,Semovientes y plantas,0.00
169503,Construcciones en curso,0.00
169504,"Maquinaria, planta y equipo en montaje",0.00
169505,Edificaciones,0.00
169506,"Plantas, ductos y túneles",0.00
169507,"Redes, líneas y cables",0.00
169508,Maquinaria y equipo,0.00
169509,Equipo médico y científico,0.00
169510,"Muebles, enseres y equipo de oficina",0.00
169511,Equipos de comunicación y computación,0.00
169512,"Equipo de transporte, tracción y elevación",0.00
169513,"Equipos de comedor, cocina, despensa y hotelería",0.00
169514,Plantas productoras,0.00
169515,Repuestos,0.00
169520,"Maquinaria, planta y equipo en tránsito",0.00
169521,Bienes de arte y cultura,0.00
169522,"Propiedades, planta y equipo en concesión",0.00
169523,Bienes muebles en bodega,0.00
169524,"Propiedades, planta y equipo en mantenimiento",0.00
169525,"Propiedades, planta y equipo no explotados",0.00
19,OTROS ACTIVOS,0.00
1902,PLAN DE ACTIVOS PARA BENEFICIOS A LOS EMPLEADOS A LARGO PLAZO,0.00
190201,Efectivo y equivalentes al efectivo,0.00
190202,Recursos entregados en administración,0.00
190203,Inversiones,0.00
190204,Encargos fiduciarios,0.00
190205,"Propiedades, planta y equipo",0.00
190206,Propiedades de inversión,0.00
190207,Otros activos,0.00
190208,Derechos en fideicomiso,0.00
1903,PLAN DE ACTIVOS PARA BENEFICIOS A LOS EMPLEADOS POR TERMINACIÓN DEL VINCULO LABORAL O CONTRACTUAL,0.00
190301,Efectivo y equivalentes al efectivo,0.00
190302,Recursos entregados en administración,0.00
190303,Inversiones,0.00
190304,Encargos fiduciarios,0.00
190305,"Propiedades, planta y equipo",0.00
190306,Propiedades de inversión,0.00
190307,Otros activos,0.00
1904,PLAN DE ACTIVOS PARA BENEFICIOS POSEMPLEO,0.00
190401,Efectivo y equivalentes al efectivo,0.00
190402,Recursos entregados en administración,0.00
190403,Inversiones,0.00
190404,Encargos fiduciarios,0.00
190405,"Propiedades, planta y equipo",0.00
190406,Propiedades de inversión,0.00
190407,Otros activos,0.00
190408,Derechos por cobrar - Concurrencia para el pago de pensiones,0.00
190409,Recursos para cubrir el pasivo pensional conmutado,0.00
190410,Derechos en fideicomiso,0.00
1905,BIENES Y SERVICIOS PAGADOS POR ANTICIPADO,0.00
190501,Seguros,0.00
190502,Intereses,0.00
190503,Comisiones,0.00
190504,Arrendamiento operativo,0.00
190505,"Impresos, publicaciones, suscripciones y afiliaciones",0.00
190506,Honorarios,0.00
190508,Mantenimiento,0.00
190509,Bodegaje,0.00
190510,Administración y emisión de títulos valores,0.00
190511,Sueldos y salarios,0.00
190512,Contribuciones efectivas,0.00
190513,Estudios y proyectos,0.00
190514,Bienes y servicios,0.00
190515,Otros beneficios a los empleados,0.00
190516,Beneficios  a  empleados  por  préstamos  condicionados  a  tasa  de  interés  cero  o inferior a la del mercado,0.00
190590,Otros bienes y servicios pagados por anticipado,0.00
1906,AVANCES Y ANTICIPOS ENTREGADOS,0.00
190601,Anticipos sobre convenios y acuerdos,0.00
190602,Avances a agentes de aduana,0.00
190603,Avances para viáticos y gastos de viaje,0.00
190604,Anticipo para adquisición de bienes y servicios,0.00
190690,Otros avances y anticipos,0.00
1907,"ANTICIPOS,     RETENCIONES     Y     SALDOS     A     FAVOR     POR     IMPUESTOS     Y CONTRIBUCIONES",0.00
190701,Anticipo de impuesto sobre la renta,0.00
190702,Retención en la fuente,0.00
190703,Saldos a favor en liquidaciones privadas,0.00
190704,Anticipo contribución especial,0.00
190705,Saldo a favor de impuesto a las ventas,0.00
190706,Anticipo de impuesto de industria y comercio,0.00
190708,Anticipo de impuesto a las ventas,0.00
190709,Impuesto de industria y comercio retenido,0.00
190711,Anticipo sobretasa al impuesto sobre la renta y complementarios,0.00
190790,"Otros anticipos, retenciones y saldos a favor por impuestos y contribuciones",0.00
1908,RECURSOS ENTREGADOS EN ADMINISTRACIÓN,0.00
190801,En administración,0.00
190802,Encargo fiduciario - Fiducia de inversión,0.00
190803,Encargo fiduciario - Fiducia de administración y pagos,0.00
190804,Encargo fiduciario - Fiducia de garantía,0.00
1909,DEPÓSITOS ENTREGADOS EN GARANTÍA,0.00
190901,Para servicios,0.00
190902,Para bienes,0.00
190903,Depósitos judiciales,0.00
190904,Depósitos sobre contratos,0.00
190905,Para importaciones,0.00
190906,Para inversiones,0.00
190907,Depósitos para procesos de titularización,0.00
190911,Depósitos en contratos de futuros,0.00
190990,Otros depósitos entregados,0.00
1926,DERECHOS EN FIDEICOMISO,0.00
192603,Fiducia mercantil - Patrimonio autónomo,0.00
1951,PROPIEDADES DE INVERSIÓN,0.00
195101,Terrenos,0.00
195102,Edificaciones,0.00
195103,Terrenos con uso indeterminado,0.00
195104,Edificaciones con uso indeterminado,0.00
1952,DEPRECIACIÓN ACUMULADA DE PROPIEDADES DE INVERSIÓN (CR),0.00
195201,Edificaciones,0.00
195202,Edificaciones con uso indeterminado,0.00
1953,DETERIORO ACUMULADO DE PROPIEDADES DE INVERSIÓN (CR),0.00
195301,Terrenos,0.00
195302,Edificaciones,0.00
195303,Terrenos con uso indeterminado,0.00
195304,Edificaciones con uso indeterminado,0.00
1970,ACTIVOS INTANGIBLES,0.00
197001,Plusvalía,0.00
197002,Marcas,0.00
197003,Patentes,0.00
197004,Concesiones y franquicias,0.00
197005,Derechos,0.00
197007,Licencias,0.00
197008,Softwares,0.00
197010,Activos intangibles en fase de desarrollo,0.00
197012,Activos intangibles en concesión,0.00
197090,Otros activos intangibles,0.00
1975,AMORTIZACIÓN ACUMULADA DE ACTIVOS INTANGIBLES (CR),0.00
197502,Marcas,0.00
197503,Patentes,0.00
197504,Concesiones y franquicias,0.00
197505,Derechos,0.00
197507,Licencias,0.00
197508,Softwares,0.00
197511,Activos intangibles en concesión,0.00
197590,Otros activos intangibles,0.00
1976,DETERIORO ACUMULADO DE ACTIVOS INTANGIBLES (CR),0.00
197601,Plusvalía,0.00
197602,Marcas,0.00
197603,Patentes,0.00
197604,Concesiones y franquicias,0.00
197605,Derechos,0.00
197606,Licencias,0.00
197607,Softwares,0.00
197609,Activos intangibles en fase de desarrollo,0.00
197611,Activos intangibles en concesión,0.00
197690,Otros activos intangibles,0.00
1980,ACTIVOS  BIOLÓGICOS  A  VALOR  DE  MERCADO  (VALOR  RAZONABLE)  MENOS COSTOS DE DISPOSICIÓN,0.00
198001,Maduros para consumo,0.00
198002,Por madurar para consumo,0.00
198003,Maduros para producir frutos,0.00
198004,Por madurar para producir frutos,0.00
1981,ACTIVOS BIOLÓGICOS A COSTO DE REPOSICIÓN,0.00
198101,Maduros para consumo,0.00
198102,Por madurar para consumo,0.00
198103,Maduros para producir frutos,0.00
198104,Por madurar para producir frutos,0.00
1982,ACTIVOS BIOLÓGICOS AL COSTO,0.00
198201,Maduros para consumo,0.00
198202,Por madurar para consumo,0.00
198203,Maduros para producir frutos,0.00
198204,Por madurar para producir frutos,0.00
1983,AMORTIZACIÓN ACUMULADA DE ACTIVOS BIOLÓGICOS AL COSTO (CR),0.00
198301,Maduros para consumo,0.00
198302,Por madurar para consumo,0.00
198303,Maduros para producir frutos,0.00
198304,Por madurar para producir frutos,0.00
1984,DETERIORO ACUMULADO DE ACTIVOS BIOLÓGICOS AL COSTO (CR),0.00
198401,Maduros para consumo,0.00
198402,Por madurar para consumo,0.00
198403,Maduros para producir frutos,0.00
198404,Por madurar para producir frutos,0.00
1985,ACTIVOS POR IMPUESTOS DIFERIDOS,0.00
198501,Efectivo y equivalentes al efectivo,0.00
198502,Inversiones e instrumentos derivados,0.00
198503,Cuentas por cobrar,0.00
198504,Préstamos por cobrar,0.00
198505,Inventarios,0.00
198506,"Propiedades, planta y equipo",0.00
198507,Activos intangibles,0.00
198508,Propiedades de inversión,0.00
198509,Activos biológicos,0.00
198510,Otros activos,0.00
198511,Operaciones de instituciones financieras,0.00
198512,Emisión y colocación de títulos de deuda,0.00
198513,Préstamos por pagar,0.00
198514,Cuentas por pagar,0.00
198515,Beneficios a empleados,0.00
198516,Operaciones con instrumentos derivados,0.00
198517,Provisiones,0.00
198518,Otros pasivos,0.00
1986,ACTIVOS DIFERIDOS,0.00
198603,Pérdida diferida por transacciones de venta con arrendamiento posterior,0.00
198605,Gasto diferido por subvenciones condicionadas,0.00
198606,Costos de transacción - Activos y pasivos financieros,0.00
1989,RECURSOS   DE   LA   ENTIDAD   CONCEDENTE   EN   PATRIMONIOS   AUTÓNOMOS CONSTITUIDOS POR LOS CONCESIONARIOS,0.00
198901,"Recursos de la entidad concedente en patrimonios autónomos constituidos por los
concesionarios",0.00
1990,"DERECHOS  DE  SUSTITUCIÓN  DE  ACTIVOS  DETERIORADOS  Y  DE  REEMBOLSO
RELACIONADOS CON PROVISIONES",0.00
199001,Derechos de sustitución de activos deteriorados por daño físico,0.00
199002,Derechos de reembolso relacionados con provisiones,0.00
2,PASIVOS,904954759.00
21,OPERACIONES DE BANCA CENTRAL E INSTITUCIONES FINANCIERAS,0.00
2110,OPERACIONES DE CAPTACIÓN Y SERVICIOS FINANCIEROS,0.00
211001,Cuentas corrientes,0.00
211002,Depósitos simples,0.00
211003,Certificados de depósito a término (CDT),0.00
211005,Depósitos de ahorro,0.00
211007,Cuentas de ahorro especial,0.00
211011,Depósitos especiales,0.00
211090,Otras operaciones de captación y servicios financieros,0.00
22,EMISIÓN Y COLOCACIÓN DE TÍTULOS DE DEUDA,0.00
2222,FINANCIAMIENTO INTERNO DE CORTO PLAZO,0.00
222201,Bonos y títulos emitidos,0.00
2223,FINANCIAMIENTO INTERNO DE LARGO PLAZO,0.00
222390,Otros bonos y títulos emitidos,0.00
2224,FINANCIAMIENTO EXTERNO DE CORTO PLAZO,0.00
222401,Bonos y títulos emitidos,0.00
2225,FINANCIAMIENTO EXTERNO DE LARGO PLAZO,0.00
222590,Otros bonos y títulos emitidos,0.00
23,PRÉSTAMOS POR PAGAR,0.00
2313,FINANCIAMIENTO INTERNO DE CORTO PLAZO,0.00
231301,Préstamos banca comercial,0.00
231302,Préstamos banca de fomento,0.00
231303,Préstamos entidades de fomento y desarrollo regional,0.00
231304,Créditos transitorios,0.00
231307,Fondos adquiridos con compromiso de recompra,0.00
231309,Sobregiros,0.00
231310,Préstamos de vinculados económicos,0.00
231311,Préstamos de fondos empresariales,0.00
231312,Préstamos del Gobierno General,0.00
231313,Préstamos de empresas no financieras,0.00
231314,Préstamos de otras entidades,0.00
231315,Arrendamiento financiero,0.00
231316,Préstamos de asociados,0.00
231317,Préstamos de socios y accionistas,0.00
231390,Otros préstamos,0.00
2314,FINANCIAMIENTO INTERNO DE LARGO PLAZO,0.00
231401,Préstamos banca comercial,0.00
231402,Préstamos banca de fomento,0.00
231403,Préstamos entidades de fomento y desarrollo regional,0.00
231405,Préstamos de vinculados económicos,0.00
231406,Préstamos de fondos empresariales,0.00
231407,Préstamos del Gobierno General,0.00
231408,Préstamos de empresas no financieras,0.00
231409,Préstamos de otras entidades,0.00
231410,Arrendamiento financiero,0.00
231411,Préstamos de asociados,0.00
231412,Préstamos de socios y accionistas,0.00
231413,Pasivo financiero por acuerdos de concesión (Concedente),0.00
231414,Titularización de flujos futuros,0.00
231490,Otros préstamos,0.00
2316,FINANCIAMIENTO EXTERNO DE CORTO PLAZO,0.00
231601,Préstamos banca comercial,0.00
231603,Préstamos banca de fomento,0.00
231605,Préstamos de vinculados económicos,0.00
231607,Arrendamiento financiero,0.00
231690,Otros préstamos,0.00
2317,FINANCIAMIENTO EXTERNO DE LARGO PLAZO,0.00
231701,Préstamos banca comercial,0.00
231703,Préstamos banca de fomento,0.00
231705,Préstamos de vinculados económicos,0.00
231706,Arrendamiento financiero,0.00
231790,Otros préstamos,0.00
24,CUENTAS POR PAGAR,904954759.00
2401,ADQUISICIÓN DE BIENES Y SERVICIOS NACIONALES,3174810.00
240101,Bienes y servicios,3174810.00
240102,Proyectos de inversión,0.00
2402,SUBVENCIONES POR PAGAR,0.00
240204,Donaciones,0.00
240205,Subvención por recursos transferidos a las empresas públicas,0.00
240290,Otras subvenciones,0.00
2406,ADQUISICIÓN DE BIENES Y SERVICIOS DEL EXTERIOR,0.00
240601,Bienes y servicios,0.00
240607,Proyectos de inversión,0.00
2407,RECURSOS A FAVOR DE TERCEROS,0.00
240704,Ventas por cuenta de terceros,0.00
240706,Cobro cartera de terceros,0.00
240710,Seguro sobre préstamos,0.00
240713,Venta de servicio de directorio telefónico,0.00
240717,Venta de servicio de televisión,0.00
240720,Recaudos por clasificar,0.00
240721,Recaudos a favor del concedente,0.00
240722,Estampillas,0.00
240723,Fondo de Solidaridad y Redistribución del Ingreso - Servicios públicos,0.00
240724,Fondo  de  repotenciación  y  reposición  de  activos  de  los  sistemas  integrados  de transporte masivo,0.00
240725,Venta de servicios públicos,0.00
240726,Rendimientos financieros,0.00
240727,Retención a contratistas por aportes al Sistema de Seguridad Social Integral,0.00
240790,Otros recursos a favor de terceros,0.00
2424,DESCUENTOS DE NÓMINA,0.00
242401,Aportes a fondos  pensionales,0.00
242402,Aportes a seguridad social en salud,0.00
242404,Sindicatos,0.00
242405,Cooperativas,0.00
242406,Fondos de empleados,0.00
242407,Libranzas,0.00
242408,Contratos de medicina prepagada,0.00
242409,Descuentos no autorizados,0.00
242410,Fondos mutuos,0.00
242411,Embargos judiciales,0.00
242412,Seguros,0.00
242413,Cuenta de ahorro para el fomento de la construcción (AFC),0.00
242490,Otros descuentos de nómina,0.00
2436,RETENCIÓN EN LA FUENTE E IMPUESTO DE TIMBRE,1515142.00
243602,Dividendos y participaciones,0.00
243603,Honorarios,0.00
243604,Comisiones,0.00
243605,Servicios,1103690.00
243606,Arrendamientos,0.00
243607,Rendimientos financieros e intereses,0.00
243608,Compras,280067.00
243609,"Loterías, rifas, apuestas y similares",0.00
243610,Pagos o abonos en cuentas en el exterior,0.00
243611,Por ingresos obtenidos en el exterior,0.00
243612,Enajenación de activos fijos de personas naturales,0.00
243613,Rentas de pensiones,0.00
243614,Regalías y explotación de la propiedad intelectual,0.00
243615,Rentas de trabajo,0.00
243619,Transacciones con tarjeta débito y crédito,0.00
243625,Impuesto a las ventas retenido,131385.00
243626,Contratos de construcción,0.00
243627,Retención de impuesto de industria y comercio por compras,0.00
243628,Retención de impuesto de industria y comercio por ventas,0.00
243690,Otras retenciones,0.00
243695,Autorretenciones,0.00
243698,Impuesto de timbre,0.00
2440,"IMPUESTOS, CONTRIBUCIONES Y TASAS",900174807.00
244001,Impuesto sobre la renta y complementarios,0.00
244003,Impuesto predial unificado,0.00
244004,Impuesto de industria y comercio,0.00
244007,Impuesto sobre aduana y recargos,0.00
244009,Impuesto de registro,0.00
244010,Regalías y compensaciones monetarias,0.00
244011,"Licencias, registro y salvoconducto",0.00
244014,Cuota de fiscalización y auditaje,0.00
244016,Impuesto sobre vehículos automotores,0.00
244017,Intereses de mora,0.00
244019,Impuesto de timbre,0.00
244020,Gravamen a los movimientos financieros,0.00
244021,Impuesto para preservar la seguridad democrática,0.00
244022,Impuesto al patrimonio,0.00
244023,Contribuciones,0.00
244024,Tasas,0.00
244027,"Impuestos, contribuciones y tasas en el exterior",0.00
244029,Impuesto nacional al consumo,0.00
244031,Impuesto a la riqueza,0.00
244032,Impuesto complementario de normalización tributaria al impuesto a la riqueza,0.00
244034,Sobretasa ambiental,0.00
244035,Estampillas,0.00
244036,Sobretasa al impuesto sobre la renta y complementarios,0.00
244037,Impuesto sobre el servicio de alumbrado público,0.00
244075,Otros impuestos nacionales,0.00
244080,Otros impuestos departamentales,0.00
244085,Otros impuestos municipales,0.00
244090,Otros impuestos distritales,0.00
244091,Otras contribuciones y tasas,900174807.00
2445,IMPUESTO AL VALOR AGREGADO - IVA,0.00
244501,Venta de bienes,0.00
244502,Venta de servicios,0.00
244503,Devoluciones en compra de bienes,0.00
244504,Devoluciones en compra de servicios,0.00
244505,Compra de bienes (Db),0.00
244506,Compra de servicios (Db),0.00
244507,Devoluciones en venta de bienes (Db),0.00
244508,Devoluciones en venta de servicios (Db),0.00
244575,Impuesto a las ventas retenido (Db),0.00
244580,Valor pagado (Db),0.00
2460,CRÉDITOS JUDICIALES,0.00
246002,Sentencias,0.00
246003,Laudos arbitrales y conciliaciones extrajudiciales,0.00
246090,Otros créditos judiciales,0.00
2465,PREMIOS POR PAGAR,0.00
246501,Premios mayores pendientes de pago,0.00
246502,Premios secos pendientes de pago,0.00
246503,Premios de aproximaciones pendientes de pago,0.00
246550,Apuestas permanentes,0.00
246590,Otros premios,0.00
2475,RECURSOS RECIBIDOS DEL SISTEMA DE SEGURIDAD SOCIAL EN SALUD,0.00
247501,Cotizaciones,0.00
247507,Rendimientos de la cuenta maestra de recaudo,0.00
247508,Cotizaciones no compensadas,0.00
247509,Intereses de mora,0.00
247510,"Reintegros  a  la  ADRES,  a  las  entidades  territoriales  o  a  los  fondos  de  salud descentralizados",0.00
247590,Otros recursos recibidos del sistema de seguridad social en salud,0.00
2481,ADMINISTRACIÓN DE LA SEGURIDAD SOCIAL EN SALUD,0.00
248101,Contratos de capitación - Contributivo,0.00
248102,Contratos por evento y otras modalidades - Contributivo,0.00
248103,Promoción y prevención - Contributivo,0.00
248104,Sistema de garantía y calidad - Contributivo,0.00
248105,Reaseguro enfermedades de alto costo - Contributivo,0.00
248106,Incapacidades-Contributivo,0.00
248107,Contratos de capitación - Subsidiado,0.00
248108,Contratos por eventos y otras modalidades - Subsidiado,0.00
248109,Promoción y prevención - Subsidiado,0.00
248110,Sistema de garantía y calidad - Subsidiado,0.00
248111,Reaseguro enfermedades de alto costo - Subsidiado,0.00
248112,Contratos de capitación - Complementarios,0.00
248113,Contratos por eventos - Complementario,0.00
248114,Promoción y prevención - Complementario,0.00
248115,Sistema de garantía y calidad - Complementario,0.00
248116,Reaseguro enfermedades de alto costo - Complementario,0.00
248117,Auxilios y servicios funerarios - Complementario,0.00
248118,Obligaciones por servicios No PBS,0.00
248190,Otros gastos de seguridad social en salud,0.00
2490,OTRAS CUENTAS POR PAGAR,90000.00
249007,Obligaciones a cargo en operaciones conjuntas,0.00
249011,Esquemas de pago,0.00
249013,Recursos de acreedores reintegrados por entidades públicas,0.00
249015,Obligaciones pagadas por terceros,0.00
249019,Garantías contractuales - Concesiones,0.00
249025,Suscripción de acciones o participaciones,0.00
249026,Suscripciones,0.00
249027,Viáticos y gastos de viaje,0.00
249028,Seguros,0.00
249029,Excedentes de remates,0.00
249031,Gastos legales,0.00
249032,Cheques no cobrados o por reclamar,0.00
249033,Gastos de representación,0.00
249034,"Aportes a escuelas industriales, institutos técnicos y ESAP",0.00
249035,Prima en contratos de estabilidad jurídica,0.00
249036,Cartera adquirida por movilización de activos,0.00
249040,Saldos a favor de beneficiarios,0.00
249042,Ingresos a favor del concedente,0.00
249044,Intereses de mora,0.00
249045,Multas y sanciones,0.00
249046,Servicios financieros,0.00
249047,Implicación continuada en inversiones,0.00
249048,Implicación continuada en cuentas por cobrar,0.00
249049,Implicación continuada en préstamos por cobrar,0.00
249050,Aportes al ICBF y SENA,0.00
249051,Servicios públicos,0.00
249053,Comisiones,0.00
249054,Honorarios,0.00
249055,Servicios,0.00
